symbol,grade,entry_date,exit_date,entry_price,exit_price,percent_move,days_held,exit_type
ABVX,B+,2025-10-31,2026-01-28,102.42,113.98,11.29,59,EXIT
ACDC,B+,2026-03-11,2026-04-08,5.86,6.17,5.29,19,OPEN
ADAM,B+,2025-11-26,2025-11-28,7.66,7.62,-0.52,1,FAILED_BREAKOUT_SMALL
ADI,B+,2025-05-13,2025-05-23,226.67999,210.8123907,-7.0,8,HARD_STOP_LARGE
ADTN,B+,2025-01-07,2025-03-06,9.64,9.51,-1.35,39,EXIT
AMGN,B+,2025-11-06,2026-03-20,315.59,347.79999,10.21,91,EXIT
AMZN,B+,2025-06-30,2025-09-23,219.39,220.71001,0.6,59,EXIT
ANAB,B,2025-06-04,2025-06-05,21.27,19.5684,-8.0,1,HARD_STOP_MID
ARKO,B+,2025-02-14,2025-02-18,7.71,7.6,-1.43,1,FAILED_BREAKOUT_SMALL
ATAT,B,2025-11-04,2025-11-19,39.66,37.28,-6.0,11,FAILED_MID_TREND
ATRO,B,2025-03-25,2025-03-27,26.5,25.35,-4.34,2,FAILED_MID_BREAKOUT
AVO,B+,2025-06-13,2025-06-23,12.33,12.26,-0.57,5,FAILED_BREAKOUT_SMALL
BIIB,B+,2026-02-09,2026-03-13,193.81,181.55,-6.33,23,EXIT
CART,B,2025-02-20,2025-02-24,52.55,49.36,-6.07,2,FAILED_MID_BREAKOUT
CBRL,B,2025-07-24,2025-07-28,66.86,63.83,-4.53,2,FAILED_MID_BREAKOUT
FFBC,B,2025-08-25,2025-09-10,26.5,26.15,-1.32,11,FAILED_MID_TREND
FFBC,B,2026-01-30,2026-02-27,28.74,28.07,-2.33,19,FAILED_MID_TREND
FFIV,B+,2025-10-09,2025-10-16,342.35001,318.3855093,-7.0,5,HARD_STOP_LARGE
FORM,B,2025-09-17,2026-04-08,31.77,117.8,270.79,139,OPEN
FOXA,B,2025-02-20,2025-03-07,57.38,55.67,-2.98,11,FAILED_MID_TREND
FRPT,B,2026-01-21,2026-02-05,69.86,67.37,-3.56,11,FAILED_MID_TREND
FTAI,B+,2025-09-09,2025-11-04,165.39,153.8127,-7.0,40,HARD_STOP_LARGE
FUTU,B+,2025-07-09,2025-10-10,142.39999,154.60001,8.57,66,EXIT
FWRG,B,2025-02-19,2025-02-20,21.44,20.68,-3.54,1,FAILED_MID_BREAKOUT
GILT,B+,2025-09-09,2025-09-10,10.68,10.57,-1.03,1,FAILED_BREAKOUT_SMALL
HAS,B,2025-06-25,2025-09-16,71.68,74.69,4.2,57,EXIT
HON,B+,2025-10-24,2025-10-27,203.71347,202.705,-0.5,1,EXIT
INDV,B+,2025-06-02,2026-02-10,12.46,33.46,168.54,174,EXIT
INSM,A+,2025-08-13,2025-12-18,122.87,166.55,35.55,89,EXIT
IONS,B,2025-06-25,2026-01-16,40.0,76.33,90.83,142,EXIT
IRTC,A+,2025-02-24,2025-02-25,118.88,113.91,-4.18,1,EARLY_STOP
ISSC,B+,2025-06-30,2025-07-01,13.88,13.83,-0.36,1,FAILED_BREAKOUT_SMALL
KLAC,B+,2025-01-07,2025-03-03,689.29999,691.15002,0.27,36,EXIT
KLAC,B+,2025-05-13,2025-08-22,795.90002,870.28003,9.35,70,EXIT
LAND,B+,2025-11-11,2025-11-12,9.99,9.89,-1.0,1,FAILED_BREAKOUT_SMALL
LIND,B+,2025-07-02,2025-09-25,12.64,12.87,1.82,59,EXIT
LITE,B+,2025-08-29,2026-04-08,132.81,896.02002,574.66,151,OPEN
MTSI,B+,2025-12-04,2025-12-16,187.059998,173.96579814,-7.0,8,HARD_STOP_LARGE
ODFL,B+,2025-05-13,2025-05-21,171.34,164.19,-4.17,6,EXIT
ODFL,B+,2025-12-04,2026-04-08,153.50999,207.53,35.19,84,OPEN
PAX,B+,2026-01-07,2026-01-09,17.4,17.28,-0.69,2,FAILED_BREAKOUT_SMALL
PAYO,B+,2026-01-26,2026-02-12,6.09,5.38,-11.66,13,EXIT
POWL,B,2025-07-18,2025-07-21,76.083336,73.63667,-3.22,1,FAILED_MID_BREAKOUT
PTGX,B,2025-08-28,2026-01-08,58.14,80.2,37.94,91,EXIT
PYPL,B,2025-10-08,2025-10-10,76.13,69.84,-8.26,2,FAILED_MID_BREAKOUT
RXRX,B+,2025-10-03,2025-10-07,5.49,5.23,-4.74,2,FAILED_BREAKOUT_SMALL
SBRA,B,2026-02-13,2026-03-05,20.17,20.02,-0.74,13,FAILED_MID_TREND
SIDU,B+,2025-07-11,2025-07-14,1.83,1.74,-4.92,1,FAILED_BREAKOUT_SMALL
SNPS,B+,2025-07-07,2025-09-10,536.52002,498.9636186000001,-7.0,46,HARD_STOP_LARGE
STOK,B+,2025-06-04,2025-06-05,10.94,10.88,-0.55,1,FAILED_BREAKOUT_SMALL
STOK,B+,2025-07-21,2025-11-05,12.31,22.82,85.38,76,EXIT
SWIM,B+,2025-08-07,2025-08-11,7.31,7.15,-2.19,2,FAILED_BREAKOUT_SMALL
TBPH,B+,2025-08-14,2026-02-26,12.94,18.19,40.57,135,EXIT
TECH,B,2025-07-25,2025-08-01,58.78,54.077600000000004,-8.0,5,HARD_STOP_MID
TVTX,B,2025-10-28,2026-01-13,29.81,29.11,-2.35,52,FAILED_MID_TREND
TWST,B,2026-01-07,2026-01-08,36.55,34.74,-4.95,1,FAILED_MID_BREAKOUT
TYRA,B+,2025-10-16,2025-10-17,14.84,14.5,-2.29,1,FAILED_BREAKOUT_SMALL
UAL,B+,2025-08-13,2025-10-01,99.79,93.15,-6.65,34,EXIT
VOD,B+,2025-05-21,2025-05-28,10.42,10.39,-0.29,4,FAILED_BREAKOUT_SMALL
VRSN,B+,2025-07-28,2025-07-29,305.98001,284.56140930000004,-7.0,1,HARD_STOP_LARGE
VRSN,B+,2026-03-26,2026-04-08,250.8,270.89999,8.01,8,OPEN
VSAT,B,2026-03-20,2026-04-08,46.39,56.33,21.43,12,OPEN
WB,B+,2025-05-23,2025-05-27,9.37,9.26,-1.17,1,FAILED_BREAKOUT_SMALL
ZYME,B+,2025-09-12,2026-01-28,15.74,22.31,41.74,94,EXIT
ZYME,B+,2025-10-13,2026-01-28,18.11,22.31,23.19,73,EXIT
